Province,Year,prop_homeowners,prop_working,prop_school_absentees,prop_toilet_access,gdp,population,land_area,target: energy_capacity
SULAWESI TENGGARA,2017,84.78,89.72,4.26,72.91,107423.45,4309.2,46717.48,131.89
GORONTALO,2017,80.45,91.7,1.49,46.3,34537.68,5077.7,16787.18,33.27
SULAWESI BARAT,2017,88.98,92.12,5.37,58.98,39497.41,5360.3,38067.7,62.77
MALUKU,2017,80.15,86.5,1.49,65.13,39881.55,1749.5,46914.03,453.45
MALUKU UTARA,2017,86.83,91.04,2.11,61.81,32272.57,1218.8,31982.5,101.61
PAPUA BARAT,2017,72.06,92.41,3.76,66.86,71785.93,941.4,319036.05,235.4
PAPUA,2017,81.0,95.4,22.62,55.73,188938.08,3300.2,99671.63,524.01
INDONESIA,2017,79.61,87.06,4.15,77.84,13589825.7,264161.6,1913578.68,65235.81
ACEH,2018,81.21,86.52,1.51,72.72,155910.98,5316.3,57956.0,904.88
SUMATERA UTARA,2018,68.32,87.86,1.52,84.66,741347.43,14639.4,72981.23,4603.58
SUMATERA BARAT,2018,71.21,86.21,1.5,71.79,230367.22,5479.5,42012.89,1031.49
RIAU,2018,69.9,90.74,1.56,89.9,752263.07,6835.1,87023.66,1429.86
JAMBI,2018,83.64,90.01,2.82,81.09,207878.69,2241.6,8201.72,369.81
SUMATERA SELATAN,2018,80.65,89.11,1.79,78.24,419392.16,3566.2,50058.16,2286.43
BENGKULU,2018,83.39,91.68,2.22,80.33,66402.99,8497.2,91592.43,529.89
LAMPUNG,2018,87.89,90.9,2.45,86.24,332446.07,1451.1,16424.06,1087.92
KEP. BANGKA BELITUNG,2018,85.91,89.25,2.81,88.08,73113.28,1971.8,19919.33,354.93
KEP. RIAU,2018,69.44,89.63,2.31,89.75,248822.23,8457.6,34623.8,757.43
DKI JAKARTA,2018,47.85,81.66,1.14,83.13,2592606.57,10504.1,664.01,5126.27
JAWA BARAT,2018,77.71,85.9,2.56,80.85,1960627.65,49023.2,35377.76,9079.0
JAWA TENGAH,2018,88.17,85.14,4.94,81.13,1268261.17,12714.3,9662.92,8764.04
DI YOGYAKARTA,2018,76.54,80.53,4.66,80.58,129818.36,34552.5,32800.69,0.78
JAWA TIMUR,2018,87.46,86.74,6.34,77.11,2188766.35,3868.6,3133.15,10063.77
BANTEN,2018,81.33,86.61,2.68,81.48,613804.41,39744.8,47799.75,8932.98
BALI,2018,71.75,91.01,5.82,78.65,233636.77,5045.7,5780.06,1009.04
